token_count,approximate_input_length,needle_depth,question,answer,output
495,500,0,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,台北101是台灣最高的建築物，高度達到508公尺。
495,500,10,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,台北101的高度是508米。
495,500,20,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,台北101的高度达到508公尺。
495,500,30,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,台北101是台灣最高的建築物，高度達到508公尺。
495,500,40,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,台北101是台灣最高的建築物，高度為508公尺。
495,500,50,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,台北101是一座高度达到508米的建筑，是台湾最高的建筑。
495,500,60,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,台北101是台灣最高的建築物，高度為508公尺。
495,500,70,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,台北101是台灣最高的建築物，高度達到508公尺。
495,500,80,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,台北101是台灣最高的建築物，高度達到508公尺。
495,500,90,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,台北101是台灣最高的建築物，高度為508公尺。
495,500,100,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,台北101是台灣最高的建築物，高度為508公尺。
989,1000,0,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,台北101是台灣最高的建築物，高度達到508公尺。
989,1000,10,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,台北101是台灣最高的建築物，高度達508公尺。
989,1000,20,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,台北101是台灣最高的建築物，高度達到508公尺。
989,1000,30,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,台北101是台灣最高的建築物，高度為508公尺。
989,1000,40,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,台北101是台灣最高的建築物，高度為508公尺。
989,1000,50,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,台北101是台灣最高的建築物，高度為508公尺。
989,1000,60,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,台北101是台灣最高的建築物，高度為508公尺。
989,1000,70,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,台北101是台灣最高的建築物，高度為508公尺。
989,1000,80,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,台北101是台灣最高的建築物，高度達508公尺。
989,1000,90,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,台北101是台灣最高的建築物，高度為508公尺。
989,1000,100,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,台北101是台灣最高的建築物，高度達到508公尺。
4980,5000,0,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,台北101是台灣最高的建築物，高度達到508公尺。
4980,5000,10,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,台北101是台灣最高的建築物，高度達508公尺。
4980,5000,20,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,台北101是台灣最高的建築物，高度達508公尺。
4980,5000,30,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,台北101是台灣最高的建築物，高度為508公尺。
4980,5000,40,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,台北101是台灣最高的建築物，高度達508公尺。
4980,5000,50,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,台北101是台灣最高的建築物，高度達508公尺。
4980,5000,60,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,台北101是台灣最高的建築物，高度達到508公尺。
4980,5000,70,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,台灣最高的建築物是台北101，其高度為508公尺。
4980,5000,80,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,台灣最高的建築物是台北101，其高度為508公尺。
4980,5000,90,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,台北101是台灣最高的建築物，高度達508公尺。
4980,5000,100,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,台北101是一座位于台湾的建筑，其高度为508公尺。
